IVcall,CALL,STRIKE,PUT,IVput
4.45,108.60,19200.00,85.95,13.05
5.70,83.00,19250.00,109.55,13.53
6.42,62.05,19300.00,138.15,13.89
6.89,44.95,19350.00,173.10,14.73
7.37,32.80,19400.00,209.05,15.40
7.82,23.95,19450.00,250.10,16.45
8.18,17.05,19500.00,293.05,17.63
8.57,12.20,19550.00,339.35,18.74
8.96,9.05,19600.00,385.05,20.00
9.33,6.60,19650.00,432.80,21.32
9.92,5.45,19700.00,476.05,22.97
10.67,4.95,19750.00,530.85,24.12
10.89,3.50,19800.00,578.00,25.19
11.46,3.00,19850.00,631.45,27.10
11.95,2.50,19900.00,677.95,28.01
12.81,2.55,19950.00,727.20,29.32
13.36,2.25,20000.00,780.00,31.05
13.43,1.55,20050.00,800.70,27.59
14.52,1.85,20100.00,880.00,33.70
15.50,2.05,20150.00,899.80,29.84
15.66,1.55,20200.00,966.05,33.97
